eta,theoretical bound,practical sample
0.0,4144.633166389214,307.28
0.05,5116.831069616314,518.16
0.1,6475.989322483147,750.2
0.15000000000000002,8458.435033447378,1090.32
0.2,11512.869906636708,1613.24
0.25,16578.532665556857,2768.84
0.30000000000000004,25903.957289932605,4814.1
0.35000000000000003,46051.479626546854,7748.0
0.4,103615.82915973042,17497.3
0.0,4144.633166389214,307.28
0.05,5116.831069616314,518.16
0.1,6475.989322483147,750.2
0.15000000000000002,8458.435033447378,1090.32
0.2,11512.869906636708,1613.24
0.25,16578.532665556857,2768.84
0.30000000000000004,25903.957289932605,4814.1
0.35000000000000003,46051.479626546854,7748.0
0.4,103615.82915973042,17497.3
0.0,4144.633166389214,307.28
0.05,5116.831069616314,518.16
0.1,6475.989322483147,750.2
0.15000000000000002,8458.435033447378,1090.32
0.2,11512.869906636708,1613.24
0.25,16578.532665556857,2768.84
0.30000000000000004,25903.957289932605,4814.1
0.35000000000000003,46051.479626546854,7748.0
0.4,103615.82915973042,17497.3
